player threshold,dealer threshold,player win,dealer win
10,10,4084,5916
10,11,3966,6034
10,12,4141,5859
10,13,3948,6052
10,14,4026,5974
10,15,4024,5976
10,16,4084,5916
10,17,4062,5938
10,18,4063,5937
10,19,4091,5909
10,20,4053,5947
11,10,4636,5364
11,11,4523,5477
11,12,4525,5475
11,13,4489,5511
11,14,4550,5450
11,15,4510,5490
11,16,4576,5424
11,17,4430,5570
11,18,4567,5433
11,19,4608,5392
11,20,4571,5429
12,10,4590,5410
12,11,4548,5452
12,12,4599,5401
12,13,4545,5455
12,14,4504,5496
12,15,4508,5492
12,16,4419,5581
12,17,4484,5516
12,18,4506,5494
12,19,4539,5461
12,20,4574,5426
13,10,4592,5408
13,11,4502,5498
13,12,4518,5482
13,13,4491,5509
13,14,4512,5488
13,15,4582,5418
13,16,4531,5469
13,17,4585,5415
13,18,4571,5429
13,19,4590,5410
13,20,4495,5505
14,10,4521,5479
14,11,4604,5396
14,12,4464,5536
14,13,4445,5555
14,14,4594,5406
14,15,4630,5370
14,16,4541,5459
14,17,4480,5520
14,18,4575,5425
14,19,4479,5521
14,20,4564,5436
15,10,4466,5534
15,11,4452,5548
15,12,4470,5530
15,13,4540,5460
15,14,4570,5430
15,15,4524,5476
15,16,4436,5564
15,17,4532,5468
15,18,4505,5495
15,19,4480,5520
15,20,4509,5491
16,10,4498,5502
16,11,4554,5446
16,12,4523,5477
16,13,4417,5583
16,14,4452,5548
16,15,4385,5615
16,16,4409,5591
16,17,4416,5584
16,18,4461,5539
16,19,4489,5511
16,20,4452,5548
17,10,4296,5704
17,11,4234,5766
17,12,4388,5612
17,13,4344,5656
17,14,4345,5655
17,15,4374,5626
17,16,4341,5659
17,17,4326,5674
17,18,4388,5612
17,19,4322,5678
17,20,4340,5660
18,10,4178,5822
18,11,4187,5813
18,12,4134,5866
18,13,4165,5835
18,14,4184,5816
18,15,4251,5749
18,16,4165,5835
18,17,4263,5737
18,18,4203,5797
18,19,4234,5766
18,20,4245,5755
19,10,4000,6000
19,11,4006,5994
19,12,3936,6064
19,13,3986,6014
19,14,3903,6097
19,15,3899,6101
19,16,4069,5931
19,17,3980,6020
19,18,4016,5984
19,19,4042,5958
19,20,3928,6072
20,10,3610,6390
20,11,3662,6338
20,12,3659,6341
20,13,3619,6381
20,14,3533,6467
20,15,3682,6318
20,16,3706,6294
20,17,3660,6340
20,18,3695,6305
20,19,3681,6319
20,20,3638,6362
